INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (10602 inline 8-bit counters): 10602 [0x5569d27d82b0, 0x5569d27dac1a), 
INFO: Loaded 1 PC tables (10602 PCs): 10602 [0x5569d27dac20,0x5569d28042c0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork3564291.dir
==3652925== ERROR: libFuzzer: deadly signal
#1798625: cov: 1001 ft: 2119 corp: 191 exec/s: 569 oom/timeout/crash: 0/0/5867 time: 3572s job: 5872 dft_time: 0
==3653690== ERROR: libFuzzer: deadly signal
#1798954: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5868 time: 3572s job: 5873 dft_time: 0
==3654859== ERROR: libFuzzer: deadly signal
#1799157: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5869 time: 3573s job: 5874 dft_time: 0
==3655538== ERROR: libFuzzer: deadly signal
#1799627: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5870 time: 3574s job: 5875 dft_time: 0
==3656050== ERROR: libFuzzer: deadly signal
#1799642: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5871 time: 3574s job: 5876 dft_time: 0
==3657058== ERROR: libFuzzer: deadly signal
#1800307: cov: 1001 ft: 2119 corp: 191 exec/s: 665 oom/timeout/crash: 0/0/5872 time: 3575s job: 5877 dft_time: 0
==3657190== ERROR: libFuzzer: deadly signal
#1800371: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5873 time: 3575s job: 5878 dft_time: 0
==3658641== ERROR: libFuzzer: deadly signal
#1800386: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5874 time: 3575s job: 5879 dft_time: 0
==3658944== ERROR: libFuzzer: deadly signal
#1800666: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5875 time: 3576s job: 5880 dft_time: 0
==3659096== ERROR: libFuzzer: deadly signal
#1801719: cov: 1001 ft: 2119 corp: 191 exec/s: 1053 oom/timeout/crash: 0/0/5876 time: 3577s job: 5881 dft_time: 0
==3659866== ERROR: libFuzzer: deadly signal
#1801848: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5877 time: 3578s job: 5882 dft_time: 0
==3661235== ERROR: libFuzzer: deadly signal
#1801961: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5878 time: 3578s job: 5883 dft_time: 0
==3661553== ERROR: libFuzzer: deadly signal
#1802205: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5879 time: 3578s job: 5884 dft_time: 0
==3661866== ERROR: libFuzzer: deadly signal
#1802314: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5880 time: 3579s job: 5885 dft_time: 0
==3662401== ERROR: libFuzzer: deadly signal
#1802418: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5881 time: 3579s job: 5886 dft_time: 0
==3662927== ERROR: libFuzzer: deadly signal
#1802767: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5882 time: 3580s job: 5887 dft_time: 0
==3663423== ERROR: libFuzzer: deadly signal
#1803006: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5883 time: 3580s job: 5888 dft_time: 0
==3664249== ERROR: libFuzzer: deadly signal
#1803130: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5884 time: 3581s job: 5889 dft_time: 0
==3664850== ERROR: libFuzzer: deadly signal
#1803730: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5885 time: 3582s job: 5890 dft_time: 0
==3665191== ERROR: libFuzzer: deadly signal
#1804077: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5886 time: 3582s job: 5891 dft_time: 0
==3666427== ERROR: libFuzzer: deadly signal
#1804114: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5887 time: 3583s job: 5892 dft_time: 0
==3667229== ERROR: libFuzzer: deadly signal
#1804220: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5888 time: 3583s job: 5893 dft_time: 0
==3667380== ERROR: libFuzzer: deadly signal
#1804755: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5889 time: 3584s job: 5894 dft_time: 0
==3667681== ERROR: libFuzzer: deadly signal
#1805118: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5890 time: 3584s job: 5895 dft_time: 0
==3668986== ERROR: libFuzzer: deadly signal
#1805833: cov: 1001 ft: 2119 corp: 191 exec/s: 715 oom/timeout/crash: 0/0/5891 time: 3586s job: 5896 dft_time: 0
==3669857== ERROR: libFuzzer: deadly signal
#1805937: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5892 time: 3586s job: 5897 dft_time: 0
==3671467== ERROR: libFuzzer: deadly signal
#1806179: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5893 time: 3587s job: 5898 dft_time: 0
==3672049== ERROR: libFuzzer: deadly signal
#1806351: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5894 time: 3587s job: 5899 dft_time: 0
==3672701== ERROR: libFuzzer: deadly signal
#1806754: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5895 time: 3588s job: 5900 dft_time: 0
==3673165== ERROR: libFuzzer: deadly signal
#1806903: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5896 time: 3588s job: 5901 dft_time: 0
==3674074== ERROR: libFuzzer: deadly signal
#1807523: cov: 1001 ft: 2119 corp: 191 exec/s: 620 oom/timeout/crash: 0/0/5897 time: 3590s job: 5902 dft_time: 0
==3674551== ERROR: libFuzzer: deadly signal
#1807819: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5898 time: 3590s job: 5903 dft_time: 0
==3675987== ERROR: libFuzzer: deadly signal
#1808327: cov: 1001 ft: 2119 corp: 191 exec/s: 508 oom/timeout/crash: 0/0/5899 time: 3592s job: 5904 dft_time: 0
==3676893== ERROR: libFuzzer: deadly signal
#1808690: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5900 time: 3592s job: 5905 dft_time: 0
==3678277== ERROR: libFuzzer: deadly signal
#1809109: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5901 time: 3593s job: 5906 dft_time: 0
==3679219== ERROR: libFuzzer: deadly signal
#1809481: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5902 time: 3594s job: 5907 dft_time: 0
==3680175== ERROR: libFuzzer: deadly signal
#1809733: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5903 time: 3595s job: 5908 dft_time: 0
==3681044== ERROR: libFuzzer: deadly signal
#1810260: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5904 time: 3596s job: 5909 dft_time: 0
==3681812== ERROR: libFuzzer: deadly signal
#1811010: cov: 1001 ft: 2119 corp: 191 exec/s: 750 oom/timeout/crash: 0/0/5905 time: 3597s job: 5910 dft_time: 0
==3682827== ERROR: libFuzzer: deadly signal
#1811042: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5906 time: 3597s job: 5911 dft_time: 0
==3684788== ERROR: libFuzzer: deadly signal
#1811133: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5907 time: 3598s job: 5912 dft_time: 0
==3684988== ERROR: libFuzzer: deadly signal
#1811265: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5908 time: 3598s job: 5913 dft_time: 0
==3685302== ERROR: libFuzzer: deadly signal
#1811637: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5909 time: 3599s job: 5914 dft_time: 0
==3685818== ERROR: libFuzzer: deadly signal
#1812074: cov: 1001 ft: 2119 corp: 191 exec/s: 0 oom/timeout/crash: 0/0/5910 time: 3600s job: 5915 dft_time: 0
==3686762== ERROR: libFuzzer: deadly signal
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
