rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_chunk_data_const,src/lodepng.rs,1186,(chunk: Option<&[u8]>) -> Option<&[u8]>,yes,,,lodepng_chunk_data_const
lodepng_chunk_check_crc,src/lodepng.rs,1198,(chunk: Option<&[i8]>) -> u32,yes,,lodepng_chunk_generate_crc,lodepng_chunk_find
add_length_distance,src/lodepng.rs,1204,"(values: Option<&mut c_void>, length: usize, distance: usize) -> ()",,,addLengthDistance,lodepng_memcpy
lodepng_decode32_file,src/lodepng.rs,1209,"(out: Option<&mut Option<&mut [u8]>>, w: Option<&mut u32>, h: Option<&mut u32>, filename: Option<&str>) -> u32",yes,,lodepng_decode32_file;lodepng_decoder_settings_init,lodepng_decode24_file
lodepng_decode24_file,src/lodepng.rs,1219,"(out: Option<&mut Option<&mut [u8]>>, w: Option<&mut u32>, h: Option<&mut u32>, filename: Option<&str>) -> u32",yes,,,lodepng_decode32_file
lodepng_decoder_settings_init,src/lodepng.rs,1231,(settings: Option<&mut LodePNGDecoderSettings>) -> (),yes,,,lodepng_is_greyscale_type
lodepng_encode32_file,src/lodepng.rs,1235,"(filename: Option<&str>, image: Option<&[u8]>, w: u32, h: u32) -> u32",yes,,lodepng_encoder_settings_init,lodepng_encode32_file
lodepng_encode24_file,src/lodepng.rs,1243,"(filename: Option<&str>, image: Option<&[u8]>, w: u32, h: u32) -> u32",yes,,lodepng_encode24_file,addColorBits
lodepng_get_bpp_lct,src/lodepng.rs,1262,"(_colortype: LodePNGColorType, _bitdepth: u32) -> u32",yes,,,lodepng_get_bpp_lct
lodepng_palette_clear,src/lodepng.rs,1269,(info: Option<&mut LodePNGColorMode>) -> (),yes,,lodepng_palette_clear;lodepng_palette_add,
lodepng_get_bpp,src/lodepng.rs,1276,(info: Option<&LodePNGColorMode>) -> u32,yes,,lodepng_get_bpp;lodepng_is_greyscale_type,lodepng_get_channels
lodepng_get_channels,src/lodepng.rs,1283,(info: Option<&LodePNGColorMode>) -> u32,yes,,lodepng_is_alpha_type,lodepng_get_bpp
lodepng_is_greyscale_type,src/lodepng.rs,1290,(info: Option<&LodePNGColorMode>) -> u32,yes,,lodepng_is_palette_type,lodepng_color_mode_init
lodepng_is_alpha_type,src/lodepng.rs,1296,(info: Option<&LodePNGColorMode>) -> u32,yes,,lodepng_has_palette_alpha,lodepng_palette_clear
lodepng_is_palette_type,src/lodepng.rs,1302,(info: Option<&LodePNGColorMode>) -> u32,yes,,,lodepng_color_mode_cleanup
lodepng_color_mode_init,src/lodepng.rs,1308,(info: Option<&mut LodePNGColorMode>) -> (),yes,,lodepng_color_mode_alloc_palette,
lodepng_color_mode_alloc_palette,src/lodepng.rs,1315,(info: Option<&mut LodePNGColorMode>) -> (),yes,,,
lodepng_color_mode_make,src/lodepng.rs,1318,"(colortype: LodePNGColorType, bitdepth: u32) -> LodePNGColorMode",yes,,lodepng_color_mode_make;lodepng_color_mode_equal,lodepng_color_mode_make
lodepng_color_mode_equal,src/lodepng.rs,1326,"(a: Option<&LodePNGColorMode>, b: Option<&LodePNGColorMode>) -> i32",yes,,,
rgba16ToPixel,src/lodepng.rs,1336,"(out: Option<&mut i8>, i: usize, mode: Option<&LodePNGColorMode>, r: u16, g: u16, b: u16, a: u16) -> ()",yes,,rgba16ToPixel,rgba16ToPixel
getPixelColorRGBA8,src/lodepng.rs,1352,"(r: Option<&mut i8>, g: Option<&mut i8>, b: Option<&mut i8>, a: Option<&mut i8>, input: Option<&[i8]>, i: usize, mode: Option<&LodePNGColorMode>) -> ()",yes,,getPixelColorRGBA8,addChunk_iTXt
getPixelColorsRGBA8,src/lodepng.rs,1372,"(buffer: Option<&mut [i8]>, numpixels: usize, in_buf: Option<&[i8]>, mode: Option<&LodePNGColorMode>) -> ()",yes,,getPixelColorsRGBA8,readChunk_iTXt
getPixelColorsRGB8,src/lodepng.rs,1388,"(buffer: Option<&mut [i8]>, numpixels: usize, input: Option<&[i8]>, mode: Option<&LodePNGColorMode>) -> ()",yes,,getPixelColorsRGB8,lodepng_add_text_sized
getPixelColorRGBA16,src/lodepng.rs,1400,"(r: Option<&mut i16>, g: Option<&mut i16>, b: Option<&mut i16>, a: Option<&mut i16>, input: Option<&i8>, i: usize, mode: Option<&LodePNGColorMode>) -> ()",yes,,getPixelColorRGBA16,preProcessScanlines
