INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1071 inline 8-bit counters): 1071 [0x56395e4790f0, 0x56395e47951f), 
INFO: Loaded 1 PC tables (1071 PCs): 1071 [0x56395e479520,0x56395e47d810), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork2769864.dir
==1319239== ERROR: libFuzzer: deadly signal
#21364121: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143700 time: 3599s job: 143701 dft_time: 0
==1319258== ERROR: libFuzzer: deadly signal
#21364347: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143701 time: 3599s job: 143702 dft_time: 0
==1319276== ERROR: libFuzzer: deadly signal
#21364609: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143702 time: 3599s job: 143703 dft_time: 0
==1319296== ERROR: libFuzzer: deadly signal
#21364851: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143703 time: 3599s job: 143704 dft_time: 0
==1319320== ERROR: libFuzzer: deadly signal
#21365113: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143704 time: 3599s job: 143705 dft_time: 0
==1319340== ERROR: libFuzzer: deadly signal
#21365209: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143705 time: 3599s job: 143706 dft_time: 0
==1319359== ERROR: libFuzzer: deadly signal
#21365435: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143706 time: 3599s job: 143707 dft_time: 0
==1319382== ERROR: libFuzzer: deadly signal
#21365661: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143707 time: 3599s job: 143708 dft_time: 0
==1319408== ERROR: libFuzzer: deadly signal
#21365923: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143708 time: 3599s job: 143709 dft_time: 0
==1319431== ERROR: libFuzzer: deadly signal
#21366185: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143709 time: 3599s job: 143710 dft_time: 0
==1319449== ERROR: libFuzzer: deadly signal
#21366411: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143710 time: 3599s job: 143711 dft_time: 0
==1319466== ERROR: libFuzzer: deadly signal
#21366637: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143711 time: 3599s job: 143712 dft_time: 0
==1319484== ERROR: libFuzzer: deadly signal
#21366643: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143712 time: 3599s job: 143713 dft_time: 0
==1319500== ERROR: libFuzzer: deadly signal
#21366661: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143713 time: 3599s job: 143714 dft_time: 0
==1319518== ERROR: libFuzzer: deadly signal
#21366887: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143714 time: 3599s job: 143715 dft_time: 0
==1319539== ERROR: libFuzzer: deadly signal
#21366905: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143715 time: 3599s job: 143716 dft_time: 0
==1319557== ERROR: libFuzzer: deadly signal
#21367159: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143716 time: 3599s job: 143717 dft_time: 0
==1319572== ERROR: libFuzzer: deadly signal
#21367183: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143717 time: 3599s job: 143718 dft_time: 0
==1319595== ERROR: libFuzzer: deadly signal
#21367189: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143718 time: 3599s job: 143719 dft_time: 0
==1319615== ERROR: libFuzzer: deadly signal
#21367285: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143719 time: 3599s job: 143720 dft_time: 0
==1319637== ERROR: libFuzzer: deadly signal
#21367511: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143720 time: 3599s job: 143721 dft_time: 0
==1319664== ERROR: libFuzzer: deadly signal
#21367517: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143721 time: 3599s job: 143722 dft_time: 0
==1319686== ERROR: libFuzzer: deadly signal
#21367759: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143722 time: 3599s job: 143723 dft_time: 0
==1319704== ERROR: libFuzzer: deadly signal
#21367765: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143723 time: 3599s job: 143724 dft_time: 0
==1319725== ERROR: libFuzzer: deadly signal
#21368007: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143724 time: 3599s job: 143725 dft_time: 0
==1319743== ERROR: libFuzzer: deadly signal
#21368233: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143725 time: 3599s job: 143726 dft_time: 0
==1319762== ERROR: libFuzzer: deadly signal
#21368329: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143726 time: 3599s job: 143727 dft_time: 0
==1319779== ERROR: libFuzzer: deadly signal
#21368555: cov: 108 ft: 110 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/143727 time: 3600s job: 143728 dft_time: 0
==1319797== ERROR: libFuzzer: deadly signal
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
