INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
#3333549: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60629 time: 3597s job: 60630 dft_time: 0
==219636== ERROR: libFuzzer: deadly signal
#3333784: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60630 time: 3597s job: 60631 dft_time: 0
==219700== ERROR: libFuzzer: deadly signal
#3333788: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60631 time: 3597s job: 60632 dft_time: 0
==219760== ERROR: libFuzzer: deadly signal
#3333793: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60632 time: 3597s job: 60633 dft_time: 0
==219831== ERROR: libFuzzer: deadly signal
#3333801: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60633 time: 3597s job: 60634 dft_time: 0
==219883== ERROR: libFuzzer: deadly signal
#3333809: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60634 time: 3597s job: 60635 dft_time: 0
==219945== ERROR: libFuzzer: deadly signal
#3334043: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60635 time: 3598s job: 60636 dft_time: 0
==220002== ERROR: libFuzzer: deadly signal
#3334274: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60636 time: 3598s job: 60637 dft_time: 0
==220058== ERROR: libFuzzer: deadly signal
#3334282: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60637 time: 3598s job: 60638 dft_time: 0
==220124== ERROR: libFuzzer: deadly signal
#3334300: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60638 time: 3598s job: 60639 dft_time: 0
==220193== ERROR: libFuzzer: deadly signal
#3334304: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60639 time: 3598s job: 60640 dft_time: 0
==220276== ERROR: libFuzzer: deadly signal
#3334535: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60640 time: 3598s job: 60641 dft_time: 0
==220331== ERROR: libFuzzer: deadly signal
#3334540: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60641 time: 3598s job: 60642 dft_time: 0
==220383== ERROR: libFuzzer: deadly signal
#3334548: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60642 time: 3598s job: 60643 dft_time: 0
==220449== ERROR: libFuzzer: deadly signal
#3334766: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60643 time: 3598s job: 60644 dft_time: 0
==220512== ERROR: libFuzzer: deadly signal
#3334771: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60644 time: 3598s job: 60645 dft_time: 0
==220588== ERROR: libFuzzer: deadly signal
#3335006: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60645 time: 3598s job: 60646 dft_time: 0
==220646== ERROR: libFuzzer: deadly signal
#3335010: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60646 time: 3598s job: 60647 dft_time: 0
==220701== ERROR: libFuzzer: deadly signal
#3335019: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60647 time: 3598s job: 60648 dft_time: 0
==220744== ERROR: libFuzzer: deadly signal
#3335027: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60648 time: 3598s job: 60649 dft_time: 0
==220804== ERROR: libFuzzer: deadly signal
#3335035: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60649 time: 3598s job: 60650 dft_time: 0
==220865== ERROR: libFuzzer: deadly signal
#3335266: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60650 time: 3598s job: 60651 dft_time: 0
==220954== ERROR: libFuzzer: deadly signal
