INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1089 inline 8-bit counters): 1089 [0x55cc107debb0, 0x55cc107deff1), 
INFO: Loaded 1 PC tables (1089 PCs): 1089 [0x55cc107deff8,0x55cc107e3408), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545202.dir
#5093252: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58057 time: 3599s job: 58058 dft_time: 0
==221294== ERROR: libFuzzer: deadly signal
#5094138: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58058 time: 3599s job: 58059 dft_time: 0
==221357== ERROR: libFuzzer: deadly signal
#5094143: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58059 time: 3599s job: 58060 dft_time: 0
==221477== ERROR: libFuzzer: deadly signal
#5094214: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58060 time: 3599s job: 58061 dft_time: 0
==221513== ERROR: libFuzzer: deadly signal
#5094224: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58061 time: 3599s job: 58062 dft_time: 0
==221588== ERROR: libFuzzer: deadly signal
#5094273: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58062 time: 3599s job: 58063 dft_time: 0
==221650== ERROR: libFuzzer: deadly signal
#5094278: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58063 time: 3599s job: 58064 dft_time: 0
==221710== ERROR: libFuzzer: deadly signal
#5094288: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58064 time: 3599s job: 58065 dft_time: 0
==221765== ERROR: libFuzzer: deadly signal
#5094337: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58065 time: 3599s job: 58066 dft_time: 0
==221853== ERROR: libFuzzer: deadly signal
#5094387: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58066 time: 3599s job: 58067 dft_time: 0
==221919== ERROR: libFuzzer: deadly signal
#5094402: cov: 114 ft: 116 corp: 5 exec/s: 0 oom/timeout/crash: 0/0/58067 time: 3600s job: 58068 dft_time: 0
==221982== ERROR: libFuzzer: deadly signal
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
