INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1805 inline 8-bit counters): 1805 [0x55f1c26eeed0, 0x55f1c26ef5dd), 
INFO: Loaded 1 PC tables (1805 PCs): 1805 [0x55f1c26ef5e0,0x55f1c26f66b0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork971776.dir
#615156: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53913 time: 3597s job: 53914 dft_time: 0
==644750== ERROR: libFuzzer: deadly signal
#615162: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53914 time: 3597s job: 53915 dft_time: 0
==644846== ERROR: libFuzzer: deadly signal
#615168: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53915 time: 3597s job: 53916 dft_time: 0
==644906== ERROR: libFuzzer: deadly signal
#615178: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53916 time: 3598s job: 53917 dft_time: 0
==644969== ERROR: libFuzzer: deadly signal
#615184: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53917 time: 3598s job: 53918 dft_time: 0
==645035== ERROR: libFuzzer: deadly signal
#615190: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53918 time: 3598s job: 53919 dft_time: 0
==645119== ERROR: libFuzzer: deadly signal
#615196: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53919 time: 3598s job: 53920 dft_time: 0
==645195== ERROR: libFuzzer: deadly signal
#615202: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53920 time: 3598s job: 53921 dft_time: 0
==645251== ERROR: libFuzzer: deadly signal
#615209: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53921 time: 3598s job: 53922 dft_time: 0
==645321== ERROR: libFuzzer: deadly signal
#615215: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53922 time: 3598s job: 53923 dft_time: 0
==645395== ERROR: libFuzzer: deadly signal
#615233: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53923 time: 3598s job: 53924 dft_time: 0
==645459== ERROR: libFuzzer: deadly signal
#615239: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53924 time: 3598s job: 53925 dft_time: 0
==645531== ERROR: libFuzzer: deadly signal
#615254: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53925 time: 3598s job: 53926 dft_time: 0
==645589== ERROR: libFuzzer: deadly signal
#615260: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53926 time: 3598s job: 53927 dft_time: 0
==645658== ERROR: libFuzzer: deadly signal
#615266: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53927 time: 3598s job: 53928 dft_time: 0
==645732== ERROR: libFuzzer: deadly signal
#615272: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53928 time: 3598s job: 53929 dft_time: 0
==645824== ERROR: libFuzzer: deadly signal
#615283: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53929 time: 3598s job: 53930 dft_time: 0
==645899== ERROR: libFuzzer: deadly signal
#615289: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53930 time: 3598s job: 53931 dft_time: 0
==645943== ERROR: libFuzzer: deadly signal
#615295: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53931 time: 3599s job: 53932 dft_time: 0
==646015== ERROR: libFuzzer: deadly signal
#615310: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53932 time: 3599s job: 53933 dft_time: 0
==646086== ERROR: libFuzzer: deadly signal
#615316: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53933 time: 3599s job: 53934 dft_time: 0
==646174== ERROR: libFuzzer: deadly signal
#615322: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53934 time: 3599s job: 53935 dft_time: 0
==646255== ERROR: libFuzzer: deadly signal
#615328: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53935 time: 3599s job: 53936 dft_time: 0
==646333== ERROR: libFuzzer: deadly signal
#615340: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53936 time: 3599s job: 53937 dft_time: 0
==646417== ERROR: libFuzzer: deadly signal
#615349: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53937 time: 3599s job: 53938 dft_time: 0
==646485== ERROR: libFuzzer: deadly signal
#615355: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53938 time: 3599s job: 53939 dft_time: 0
==646551== ERROR: libFuzzer: deadly signal
