INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (972 inline 8-bit counters): 972 [0x5627c2e72710, 0x5627c2e72adc), 
INFO: Loaded 1 PC tables (972 PCs): 972 [0x5627c2e72ae0,0x5627c2e767a0), 
INFO: -fork=1: fuzzing in separate process(s)
#72098: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72097 time: 3598s job: 72098 dft_time: 0
==3307296== ERROR: libFuzzer: fuzz target exited
#72099: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72098 time: 3599s job: 72099 dft_time: 0
==3307330== ERROR: libFuzzer: fuzz target exited
#72100: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72099 time: 3599s job: 72100 dft_time: 0
==3307361== ERROR: libFuzzer: fuzz target exited
#72101: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72100 time: 3599s job: 72101 dft_time: 0
==3307388== ERROR: libFuzzer: fuzz target exited
#72102: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72101 time: 3599s job: 72102 dft_time: 0
==3307417== ERROR: libFuzzer: fuzz target exited
#72103: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72102 time: 3599s job: 72103 dft_time: 0
==3307449== ERROR: libFuzzer: fuzz target exited
#72104: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72103 time: 3599s job: 72104 dft_time: 0
==3307481== ERROR: libFuzzer: fuzz target exited
#72105: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72104 time: 3599s job: 72105 dft_time: 0
==3307512== ERROR: libFuzzer: fuzz target exited
#72106: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72105 time: 3599s job: 72106 dft_time: 0
==3307545== ERROR: libFuzzer: fuzz target exited
#72107: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72106 time: 3599s job: 72107 dft_time: 0
==3307580== ERROR: libFuzzer: fuzz target exited
#72108: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72107 time: 3599s job: 72108 dft_time: 0
==3307615== ERROR: libFuzzer: fuzz target exited
#72109: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72108 time: 3599s job: 72109 dft_time: 0
==3307656== ERROR: libFuzzer: fuzz target exited
#72110: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72109 time: 3599s job: 72110 dft_time: 0
==3307682== ERROR: libFuzzer: fuzz target exited
#72111: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72110 time: 3599s job: 72111 dft_time: 0
==3307716== ERROR: libFuzzer: fuzz target exited
#72112: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72111 time: 3599s job: 72112 dft_time: 0
==3307745== ERROR: libFuzzer: fuzz target exited
#72113: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72112 time: 3599s job: 72113 dft_time: 0
==3307787== ERROR: libFuzzer: fuzz target exited
#72114: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72113 time: 3599s job: 72114 dft_time: 0
==3307829== ERROR: libFuzzer: fuzz target exited
#72115: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72114 time: 3599s job: 72115 dft_time: 0
==3307863== ERROR: libFuzzer: fuzz target exited
#72116: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72115 time: 3599s job: 72116 dft_time: 0
==3307892== ERROR: libFuzzer: fuzz target exited
#72117: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72116 time: 3599s job: 72117 dft_time: 0
==3307917== ERROR: libFuzzer: fuzz target exited
#72118: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72117 time: 3599s job: 72118 dft_time: 0
==3307957== ERROR: libFuzzer: fuzz target exited
#72119: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72118 time: 3599s job: 72119 dft_time: 0
==3308015== ERROR: libFuzzer: fuzz target exited
#72120: cov: 0 ft: 0 corp: 0 exec/s: 0 oom/timeout/crash: 0/0/72119 time: 3600s job: 72120 dft_time: 0
==3308053== ERROR: libFuzzer: fuzz target exited
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
